Number of items packed: 108
Total Utility: 738.0
Total Weight: 499.3
Item 1 -  Utility: 4.5 Weight: 5.1
Item 2 -  Utility: 3.2 Weight: 1.1
Item 3 -  Utility: 9.1 Weight: 3.9
Item 4 -  Utility: 8.3 Weight: 10.2
Item 5 -  Utility: 5.4 Weight: 3.2
Item 6 -  Utility: 5.4 Weight: 4.2
Item 7 -  Utility: 8.4 Weight: 5.8
Item 8 -  Utility: 6.6 Weight: 1.8
Item 9 -  Utility: 7.6 Weight: 6.6
Item 10 -  Utility: 6.9 Weight: 0.5
Item 11 -  Utility: 6.3 Weight: 7.5
Item 12 -  Utility: 7.2 Weight: 8.1
Item 13 -  Utility: 8.2 Weight: 7.5
Item 14 -  Utility: 6.3 Weight: 5.1
Item 15 -  Utility: 8.4 Weight: 13.0
Item 16 -  Utility: 8.7 Weight: 6.6
Item 17 -  Utility: 9.4 Weight: 8.7
Item 18 -  Utility: 5.8 Weight: 1.4
Item 19 -  Utility: 2.4 Weight: 0.5
Item 20 -  Utility: 3.7 Weight: 2.0
Item 21 -  Utility: 3.2 Weight: 0.6
Item 22 -  Utility: 2.8 Weight: 2.3
Item 23 -  Utility: 2.4 Weight: 1.2
Item 24 -  Utility: 9.1 Weight: 1.3
Item 25 -  Utility: 9.7 Weight: 4.2
Item 26 -  Utility: 9.5 Weight: 7.6
Item 27 -  Utility: 8.8 Weight: 10.8
Item 28 -  Utility: 5.9 Weight: 5.0
Item 29 -  Utility: 4.5 Weight: 1.5
Item 30 -  Utility: 5.8 Weight: 5.3
Item 31 -  Utility: 10.0 Weight: 7.3
Item 32 -  Utility: 7.7 Weight: 4.3
Item 33 -  Utility: 6.0 Weight: 4.7
Item 34 -  Utility: 3.4 Weight: 0.9
Item 35 -  Utility: 7.8 Weight: 5.3
Item 36 -  Utility: 4.3 Weight: 0.8
Item 37 -  Utility: 5.2 Weight: 2.6
Item 38 -  Utility: 8.4 Weight: 0.9
Item 39 -  Utility: 9.4 Weight: 5.0
Item 40 -  Utility: 8.9 Weight: 5.1
Item 41 -  Utility: 7.7 Weight: 5.4
Item 42 -  Utility: 9.3 Weight: 13.0
Item 43 -  Utility: 9.7 Weight: 1.5
Item 44 -  Utility: 1.7 Weight: 2.3
Item 45 -  Utility: 6.3 Weight: 1.0
Item 46 -  Utility: 4.5 Weight: 1.1
Item 47 -  Utility: 5.8 Weight: 0.6
Item 48 -  Utility: 9.7 Weight: 5.5
Item 49 -  Utility: 7.3 Weight: 2.5
Item 50 -  Utility: 4.2 Weight: 1.5
Item 51 -  Utility: 4.2 Weight: 1.7
Item 52 -  Utility: 6.4 Weight: 2.2
Item 53 -  Utility: 9.6 Weight: 4.6
Item 54 -  Utility: 9.6 Weight: 4.3
Item 55 -  Utility: 9.1 Weight: 7.2
Item 56 -  Utility: 7.8 Weight: 4.5
Item 57 -  Utility: 4.6 Weight: 4.1
Item 58 -  Utility: 9.9 Weight: 4.8
Item 59 -  Utility: 5.2 Weight: 3.1
Item 60 -  Utility: 7.5 Weight: 10.8
Item 61 -  Utility: 7.1 Weight: 5.3
Item 62 -  Utility: 9.1 Weight: 3.5
Item 63 -  Utility: 9.6 Weight: 13.6
Item 64 -  Utility: 6.0 Weight: 1.2
Item 65 -  Utility: 5.0 Weight: 6.5
Item 66 -  Utility: 8.9 Weight: 4.3
Item 67 -  Utility: 7.2 Weight: 6.2
Item 68 -  Utility: 3.8 Weight: 4.7
Item 69 -  Utility: 2.8 Weight: 2.0
Item 70 -  Utility: 2.8 Weight: 2.5
Item 71 -  Utility: 0.9 Weight: 0.7
Item 72 -  Utility: 6.4 Weight: 1.0
Item 73 -  Utility: 9.1 Weight: 2.2
Item 74 -  Utility: 10.0 Weight: 4.6
Item 75 -  Utility: 6.4 Weight: 0.7
Item 76 -  Utility: 7.7 Weight: 7.7
Item 77 -  Utility: 8.5 Weight: 5.7
Item 78 -  Utility: 9.3 Weight: 3.6
Item 79 -  Utility: 5.6 Weight: 7.4
Item 80 -  Utility: 8.3 Weight: 8.5
Item 81 -  Utility: 7.8 Weight: 1.9
Item 82 -  Utility: 9.3 Weight: 12.5
Item 83 -  Utility: 7.2 Weight: 6.2
Item 84 -  Utility: 5.7 Weight: 6.4
Item 85 -  Utility: 9.3 Weight: 6.8
Item 86 -  Utility: 7.6 Weight: 9.5
Item 87 -  Utility: 5.6 Weight: 6.6
Item 88 -  Utility: 7.8 Weight: 3.4
Item 89 -  Utility: 6.3 Weight: 7.2
Item 90 -  Utility: 9.5 Weight: 2.9
Item 91 -  Utility: 7.9 Weight: 7.7
Item 92 -  Utility: 9.4 Weight: 7.6
Item 93 -  Utility: 7.0 Weight: 7.8
Item 94 -  Utility: 6.1 Weight: 8.7
Item 95 -  Utility: 6.5 Weight: 4.2
Item 96 -  Utility: 6.3 Weight: 5.4
Item 97 -  Utility: 5.6 Weight: 2.1
Item 98 -  Utility: 8.5 Weight: 8.0
Item 99 -  Utility: 5.3 Weight: 0.8
Item 100 -  Utility: 8.9 Weight: 0.5
Item 101 -  Utility: 4.5 Weight: 4.1
Item 102 -  Utility: 9.1 Weight: 2.8
Item 103 -  Utility: 9.9 Weight: 8.4
Item 104 -  Utility: 7.3 Weight: 1.7
Item 105 -  Utility: 9.3 Weight: 3.0
Item 106 -  Utility: 4.2 Weight: 5.0
Item 107 -  Utility: 5.6 Weight: 4.0
Item 108 -  Utility: 1.3 Weight: 1.0
